丿 干 千 五 互 升 冘 以 刊 未 扏 𢩪 甘 田 𠮩 另 𠮨 半 弗 𢩮 
百 至 此 吐 吸 竹 㐻 𠇁 旨 旬 宇 𠛌 拒 抄 赤 芣 杜 更 束 㓠 
𠰏 吧 邑 𠡏 彷 𠖾 弟 忌 附 玟 𢫆 抷 抨 𡊳 垃 𢫔 幸 耶 若 析 
柉 到 具 呿 𣅵 𡇐 咒 𢂎 季 秉 侢 兒 佩 的 迫 欣 征 彿 爸 股 
𦙥 店 卒 放 況 泏 怲 怛 㤕 郎 孟 姅 孥 迨 春 垌 㧢 厚 昧 咾 
冒 映 拜 秭 秋 俠 鬼 追 卻 𤞑 訂 亭 炶 畑 炩 𣴓 洫 恄 恆 恍 
恬 室 祚 紇 泰 秦 珠 捇 𢬱 𢭳 捐 挹 𡱩 耆 𦒹 𢭸 剒 莫 𣆰 𧿆 
𣌴 𠳚 缺 䇛 倡 候 恁 徐 般 𦚭 𦛌 唐 𥩤 粑 焒 浥 浸 悁 容 冤 
陵 奘 陷 剝 納 紋 𥿂 𨓽 𢰥 捷 㧺 捭 授 掏 𢯠 𡍢 𦕟 萊 菲 𣔟 
曹 敕 帶 晤 敗 販 啉 唵 𣇟 趾 略 啱 唯 㖧 啐 𠵻 啒 崒 秸 符 
𠋥 從 悉 欲 𦛜 淫 淡 𢜗 𢜞 惚 寇 寄 窒 𡲈 階 婉 婦 紩 𤿰 替 
𡎡 搽 堛 揭 揋 揞 𡎝 萬 軸 雲 𢀨 雅 𣉐 喋 𣇫 遇 𣈢 𠷀 𨀌 𠻑 
喭 𠸣 圍 剩 稍 等 策 傲 𠌧 番 禽 䏾 脿 猶 詘 𤶜 䊅 勞 𤍎 湖 
溂 滑 𣹘 游 渾 渘 𢝷 愒 愕 𢝚 祿 𦀎 絡 瑰 𢳆 𢵋 𡏥 𢴉 搷 損 
𢳥 𢲥 摛 塝 𢲨 楨 楊 鄙 𨀧 嗣 𠺒 𤯰 𠌷 詧 𤷍 𤷮 瘁 𣻄 𢟖 障 
墟 𢵉 摞 誓 𡑖 𦹰 蔽 模 榴 輕 磁 𩑰 𠽃 𨁦 𠽐 嘛 𠻿 箸 𥯋 槃 
瘖 端 適 旗 𦎛 𤍃 滾 漉 𢠦 慡 慢 賓 墮 鄧 𦁼 𦂾 維 𢵼 駐 撩 
頡 撤 𦖻 樔 暫 鬧 𨁷 踏 遺 𡀷 噒 箴 箭 𠏲 𨉞 皚 鋪 銷 劍 餘 
膒 𧤁 劉 談 熟 𤸭 廢 敵 𥻠 𥻡 𣾼 憘 𢢇 憞 𡳝 𤼸 駭 樹 輯 融 
盧 𥊝 𣊿 瞜 𡁎 噯 還 默 𣰏 凝 㵢 澤 𤀏 𢣇 𦄃 𦃾 環 駸 檂 臨 
𩄎 𧷸 𥋏 闃 蹊 𠤩 𡽫 矯 𡮶 𠐞 𤘁 懇 𩜽 糞 𤁕 𢣻 襊 𧝎 繃 縿 
騎 𡓃 𡒻 𥣛 簡 雙 𤻎 糧 𥽌 襘 攑 顛 𥗁 礙 𡃽 𡾫 𡾬 簿 懲 鐄 
譔 羶 瀝 𢤽 𢺀 壤 獻 曥 𨷈 穭 衊 競 霸 矑 黯 籔 𪖫 攞 驚 囊 
贖 鑛 𩙍 𢌎 𧅫 𪘵 囒 顯 饞 𤓢 驢 讚 𤅶 𪞭 𪡱 𪭴 𪮻 𪹟 𫄈 𫄊 
𫇰 𫏢 𫰅 𫽗 𬗠 𮞊 𱠲 𱠴 𱕔 𰸑 
