Character,Reading,Examples
阿,A,"阿從 a tòng
阿諛 a dua
阿片 a phiến
阿羅漢 A La Hán
阿哬！ a ha!
[翻]"
妸,ả,"淹妸 êm ả
妸陶 ả đào"
亞,Á,"洲亞 Châu Á
亞金 á kim
亞聖 á thánh"
啊,à,勢啊？ Thế à?
啊,ã,嗢啊 ồn ã
吖,ạ,"𠳐吖！ Vâng ạ!
嘲俱吖 Chào cụ ạ"
惡,ÁC,"善惡惡夢惡心 thiện ác
惡人 ác nhân
ác mộng
惡性 ác tính
ác tâm"
惡,Ố,可惡 khả ố
𪅴,ác,"𪅴羅 ác là
𣈖𪅴 bóng ác
[異]鵶"
厄,ÁCH,災厄 tai ách
哀,AI,哀怨 ai oán
埃,AI,塵埃 trần ai
埃,ai,"埃妬 ai đó
埃埃 ai ai"
愛,ÁI,"親愛 thân ái
愛情 ái tình
戀愛 luyến ái
可愛 khả ái
愛國 ái quốc
博愛 bác ái
[翻]"
噯,ái,噯嗏 ái chà
曖,áy,"曖𢖱 áy náy
𦹯曖𣈖斜 cỏ áy bóng tà"
𧘇,ấy,"𠊛𧘇𡀯𧘇 người ấy
𣅶𧘇 lúc ấy
chuyện ấy
[異]意"
𧘇,í,⇔𧘇ấy
諳,AM,諳曉 am hiểu
黯,ẢM,黯淡 ảm đạm
暗,ÁM,"幽暗 u ám
暗示 ám thị
暗號 ám hiệu
𥊚暗 mờ ám
被魔暗 bị ma ám
蒲𤆺暗壁𤇮 mồ hóng ám vách bếp"
音,ÂM,"發音音聲 phát âm
音樂 âm nhạc
âm thanh
五音 ngũ âm
[翻]"
陰,ÂM,"陰曆陰電陰忱 âm lịch
陰謀 âm mưu
âm điện
陰性 âm tính
âm thầm
陰倚 âm ỉ"
飲,ẨM,"飲食對飲 ẩm thực
飲茶 ẩm trà
đối ẩm"
蔭,ẤM,"蔭生 ấm sinh
舅蔭 cậu ấm"
𩐛,ấm,"𩐛咖啡 ấm cà phê
𩐛渃 ấm nước
𩐛積 ấm tích"
𤋾,ấm,"淹𤋾 êm ấm
𤋾供 ấm cúng
𤋾押 ấm áp
𤋾頭 ấm đầu
𤋾抑 ấm ức
𤋾啞 ấm ớ
[異]蔭"
𤋾,âm,"𤋾𤋾 âm ấm
⇔𤋾ấm"
𩆢,ầm,"𩆢𢮁 ầm ừ
𩆢𥑴 ầm ĩ
𩆢𩆢 ầm ầm"
安,AN,"安全 an toàn
安身 an thân
安居樂業 an cư lạc nghiệp
[翻]"
安,YÊN,"安𣼽 yên lặng
安身 yên thân
𱖗安 ngồi yên"
按,ÁN,按禦 án ngữ
按,ấn,"按劕 ấn chặt
按𨨷𥑂 ấn nút chai"
案,ÁN,"提案 đề án
預案 dự án
破案 phá án"
咹,ăn,"咹𩚵 ăn cơm
咹𢵉 ăn bám
式咹 thức ăn"
恩,ÂN,"恩情 ân tình
恩赦 ân xá
恩怨 ân oán
恩惠 ân huệ
開恩 khai ân
[翻]"
恩,ơn,"感恩 cảm ơn
別恩 biết ơn
𫜵恩 làm ơn
[翻]"
殷,ÂN,殷勤 ân cần
隱,ẨN,"隱居 ẩn cư
隱喻 ẩn dụ
隱身 ẩn thân
歸隱 quy ẩn
()"
印,ẤN,"印章 ấn chương
印信 ấn tín
印印 in ấn
印刷 ấn loát
印象 ấn tượng
印度 Ấn Độ"
印,in,"印影 in ảnh
𣛠印 máy in
印冊 in sách
𣃣印 vừa in
[翻]"
盎,áng,"盎詩 áng thơ
盎桃臉 áng đào kiểm"
英,ANH,"英雄 anh hùng
㗂英 tiếng Anh"
英,anh,"英㛪 anh em
英𤳆 anh trai"
嚶,anh,嚶呃 anh ách
櫻,ANH,櫻桃 anh đào
鸚,ANH,鸚鵡 anh vũ
影,ẢNH,"形影 hình ảnh
幀影 tranh ảnh"
映,ÁNH,"反映 phản ánh
映射 ánh xạ
映𤏬 ánh sáng
映眜 ánh mắt"
映,anh,"映映 anh ánh
⇔映ánh"
呦,ao,"呦約 ao ước
[翻][異]泑"
幻,ẢO,"幻夢 ảo mộng
幻影 ảo ảnh
幻想 ảo tưởng
幻術 ảo thuật
幻覺 ảo giác
𥊚幻 mờ ảo"
襖,ÁO,"襖𨱽 áo dài
襖縺 áo len
襖䘹 áo lót"
泑,ào,"泑泑 ào ào
泑𣿌 ào ạt
嗢泑 ồn ào"
押,ÁP,"押解 áp giải
𤋾押 ấm áp"
押,ép,"押擦 ép sát
[翻]"
