       	 -a/ă	 -ai/ay	 -ao/au	 -am/ăm	 -an/ăn	 -ang/ăng	 -áp/ắp	 -át/ắt	 -ác/ắc	 -e/ê	 -eo/êu	 -em/êm	 -en/ên	 -anh/ênh	 -ép/ếp	 -ét/ết	 -ách/ếch	 -i(y)	 -iu	 -im/ym	 -in	 -inh	 -íp/ýp	 -ít	 -ích/ých	 -o/ô	 -oi/ôi	 -om/ôm	 -on/ôn	 -ong/ông	 -óp/ốp	 -ót/ốt	 -óc/ốc	 -ơ/ư/â	 -ơi/ây/ưi	 -âu/ưu	 -ơm/âm	 -ơn/ân	 -âng/ưng	 -ớp/ấp	 -ớt/ất/ứt	 -ấc/ức	 -u	 -ui	 -um	 -un	 -ung	 -úp	 -út	 -úc
○-     	 阿  	 愛    	 呦    	 庵    	 安    	 盎      	 壓    	 遏    	 噁    	 𠲖  	 喓    	 淹    	 燕    	 𪝼      	 押    	 𠮙    	 厄      	 伊   	 夭 	 唵    	 印 	 𠸄  	 葉    	 𠃣 	 益      	 烏  	 偎    	 喑    	 溫    	 䈵      	 俋    	 顇    	 喔    	 㐵    	 㗒       	 優    	 音    	 恩    	 應      	 邑    	 乙       	 憶    	 幽	 𣉍 	 𠽛 	 搵 	 雍  	 挹 	 𠃝 	 澳
b-     	 波  	 拜    	 包    	 𢵉    	 班    	 朋      	 𣔟    	 潑    	 博    	 陛  	 䕯    	 𠷨    	 𥾽    	 鋲      	 𤇮    	 𥇂    	 白      	 啤   	 瓢 	 砭    	 𠯴 	 平  	 䒦    	 蔽 	 碧      	 逋  	 倍    	 𠰏    	 𢫆    	 蓬      	 𠶙    	 勃    	 卜    	 巴    	 𬈺       	 保    	 稟    	 𦁂    	 𣵮      	 潗    	 弼       	 堛    	 咘	 𦹷 	 𠏟 	 湓 	 𨮇  	 芣 	 筆 	 㯷
c/k-   	 咖  	 該    	 高    	 甘    	 干    	 矜      	 笈    	 吉    	 閣    	 𣖟  	 𥼱    	 嗛    	 𨪝    	 涇      	 夾    	 結    	 𠽤      	 其   	 礄 	 金    	 𠻨 	 經  	 及    	 桀 	 激      	 古  	 𠎺    	 𥺻    	 昆    	 貢      	 秴    	 嗗    	 谷    	 基    	 𥝽       	 久    	 錦    	 謹    	 畺      	 級    	 拮       	 極    	 劬	 𣔞 	 㯲 	 裩 	 恭  	 鈒 	 𡭕 	 菊
ch-    	 仛  	 𥑂    	 嘲    	 占    	 𧜖    	 𦁢      	 𬗵    	 𬘋    	 擢    	 𩂏  	 棹    	 㓠    	 𢫔    	 佂      	 嘖    	 𬗗    	 𬿈      	 芝   	 𠹾 	 𪀄    	 㐱 	 正  	 𠽃    	 㑜 	 隻      	 𡊲  	 䒹    	 跕    	 墫    	 蔠      	 𩮿    	 𢱝    	 𠺷    	 啫    	 𨔈       	 周    	 斟    	 真    	 烝      	 執    	 質       	 織    	 朱	 𨄺 	 𫇳 	 𨀛 	 鐘  	 𠌷 	 𡭧 	 祝
d-     	 耶  	 𦂄    	 瑤    	 𨤮    	 吲    	 扛      	 唊    	 𢴑    	 𢖺    	 喈  	 𥻠    	 啖    	 喕    	 溋      	 揲    	 𦂾    	 繹      	 彌   	 𪶋 	 𥇌    	 𰈏 	 營  	 鐷    	 悊 	 易      	 猶  	 𣾶    	 𥉰    	 𰔫    	 𩘪      	 㷝    	 詘    	 𨂔    	 譽    	 絏       	 唒    	 𩂐    	 引    	 𤼸      	 𡏽    	 逸       	 翼    	 攸	 錐 	 呫 	 搎 	 容  	    	    	 育
đ-     	 多  	 墆    	 道    	 耽    	 丹    	 登      	 答    	 達    	 特    	 堤  	 㧅    	 𣎀    	 畑    	 汀      	 惵    	 𪸽    	 啲      	 呧   	 裯 	 恬    	 甸 	 丁  	 諜    	 迭 	 的      	 都  	 對    	 玷    	 敦    	 同      	 沓    	 突    	 篤    	 咜    	 𩂠       	 豆    	 𭯺    	 單    	 撜      	 㧺    	 䋎       	 德    	 𣛭	 𦢶 	 𦅰 	 庉 	 襠  	 𧛆 	 賥 	 濁
g/gh-  	 迦  	 荄    	 哠    	 𨭺    	 𮇜    	 𠡚      	 﨤    	 詰    	 擱    	 𭌲  	 嘺    	 𧁴    	 慳    	 𡹡      	 𢯖    	 恄    	 𮞑      	 𥱬   	    	 捦    	    	     	       	    	 𢙕      	 𦁣  	 襘    	 搛    	 緄    	 杠      	 𢵰    	 𨃴    	 㭲    	 塸    	 梞       	 𦵷    	 㖗    	 近    	 薑      	 𥄫    	 𩠓       	 棘    	 𠵎	 𨗥 	    	 裩 	 𡃕  	    	 縎 	 𩠧
gi-    	 加  	 佳    	 交    	 監    	 間    	 江      	 甲    	 𣾹    	 角    	 支  	 𪶎    	 掂    	 𧁶    	 𫣂      	       	 浙    	 𩷉      	 咦   	    	       	 𢷹 	     	       	 㘁 	 𩷉      	 𩙍  	 𠐞    	       	 伅    	 𥞖      	       	 湥    	 䇶    	 捈    	 介       	 𢭳    	 𨁹    	 𢚷    	         	       	 𪮞       	 𥋏    	 𱡃	    	 𡑓 	 撴 	     	 𢴇 	    	 𠽖
h-     	 霞  	 諧    	 豪    	 函    	 翰    	 項      	 盍    	 喝    	 嘿    	 嗄  	 囂    	 𡑯    	 𠻃    	 亨      	 狹    	 頡    	 侅      	 希   	 㳜 	 𥋵    	 軒 	 形  	 䀫    	 𭊪 	 檄      	 乎  	 回    	 𣋚    	 焝    	 鴻      	 𪡄    	 忽    	 學    	 𤏤    	 憘       	 侯    	 歆    	 欣    	 興      	 合    	 愒       	 洫    	 栩	 𠜮 	 𥵗 	 熏 	 雄  	 噏 	 紇 	 𡄆
kh-    	 可  	 開    	 考    	 勘    	 𫩒    	 康      	 𬨢    	 𰸑    	 克    	 溪  	 丘    	 慊    	 𠸦    	 俓      	 𢬱    	 𤋸    	         	 氣   	 𠰋 	 謙    	 牽 	 輕  	 愜    	 𢝛 	 隙      	 庫  	 魁    	 莰    	 坤    	 孔      	       	       	 酷    	 𠍲    	 起       	 蔻    	 欽    	 懇    	         	 伋    	 乞       	       	 區	 啟 	 𨆃 	    	 椌  	    	    	 曲
