2025-11-27 16:44:20.705 | DEBUG    | search_chnc:get_result:74 - ['ngồi', 'không']
2025-11-27 16:44:20.705 | DEBUG    | search_chnc:get_result:75 - [{'Character': '𱖗', 'Reading': 'ngồi', 'Examples': '𱖗𬺗 ngồi xuống\n𱖗踮 ngồi xổm ', 'Note': '[異] 𡎢 𡎥 𡎦 ', 'Unicode': 'U+31597', 'Simplified': '', 'grade': '4'}, {'Character': '空', 'Reading': 'KHÔNG', 'Examples': '空固 không có\n空得 không được\n空氣 không khí ', 'Note': '', 'Unicode': 'U+7A7A', 'Simplified': '', 'grade': '1'}]
2025-11-27 16:44:47.377 | DEBUG    | search_chnc:get_result:74 - ['nhảm', 'nhí']
2025-11-27 16:44:47.377 | DEBUG    | search_chnc:get_result:75 - [{'Character': '䚾', 'Reading': 'nhảm', 'Examples': '信䚾 tin nhảm\n吶䚾 nói nhảm\n䚾𡭺 nhảm nhí ', 'Note': '', 'Unicode': 'U+46BE', 'Simplified': '', 'grade': '6'}, {'Character': '𡭺', 'Reading': 'nhí', 'Examples': '𠏆𡭺 bồ nhí ', 'Note': '', 'Unicode': 'U+21B7A', 'Simplified': '', 'grade': '6'}]
2025-11-27 16:44:52.064 | DEBUG    | search_chnc:get_result:74 - ['châu', 'báu']
2025-11-27 16:44:52.064 | DEBUG    | search_chnc:get_result:75 - [{'Character': '州', 'Reading': 'CHÂU', 'Examples': '交州 Giao Châu\n神州 thần châu ', 'Note': '', 'Unicode': 'U+5DDE', 'Simplified': '', 'grade': '4'}, {'Character': '周', 'Reading': 'CHÂU', 'Examples': '𡓇周𨨦 lỗ châu mai ', 'Note': '格讀𧵑「周 chu」爲𠼤諱時𠸗。 Cách đọc của "周 chu" vì kiêng huý thời xưa.[翻] ', 'Unicode': 'U+5468', 'Simplified': '', 'grade': '3'}, {'Character': '洲', 'Reading': 'CHÂU', 'Examples': '洲亞 Châu Á\n洲陸 châu lục ', 'Note': '', 'Unicode': 'U+6D32', 'Simplified': '', 'grade': '3'}, {'Character': '珠', 'Reading': 'CHÂU', 'Examples': '珍珠 trân châu\n珠寶 châu báu\n火珠 hoả châu ', 'Note': '', 'Unicode': 'U+73E0', 'Simplified': '', 'grade': '5'}, {'Character': '𧎝', 'Reading': 'châu', 'Examples': ' ', 'Note': '⇔ 𧎝 chấu', 'Unicode': 'U+2739D', 'Simplified': '', 'grade': '6'}, {'Character': '㑳', 'Reading': 'châu', 'Examples': '官㑳 quan châu', 'Note': '', 'Unicode': 'U+3473', 'Simplified': '', 'grade': '7'}, {'Character': '寶', 'Reading': 'báu', 'Examples': '貴寶 quý báu\n寶物 báu vật\n珠寶 châu báu ', 'Note': '', 'Unicode': 'U+5BF6\nU+5B9D', 'Simplified': '宝', 'grade': '3'}]
2025-11-27 16:45:58.192 | DEBUG    | search_chnc:get_result:74 - ['châu', 'báu']
2025-11-27 16:45:58.193 | DEBUG    | search_chnc:get_result:75 - [{'Character': '州', 'Reading': 'CHÂU', 'Examples': '交州 Giao Châu\n神州 thần châu ', 'Note': '', 'Unicode': 'U+5DDE', 'Simplified': '', 'grade': '4'}, {'Character': '周', 'Reading': 'CHÂU', 'Examples': '𡓇周𨨦 lỗ châu mai ', 'Note': '格讀𧵑「周 chu」爲𠼤諱時𠸗。\nCách đọc của "周 chu" vì kiêng huý thời xưa.[翻] ', 'Unicode': 'U+5468', 'Simplified': '', 'grade': '3'}, {'Character': '洲', 'Reading': 'CHÂU', 'Examples': '洲亞 Châu Á\n洲陸 châu lục ', 'Note': '', 'Unicode': 'U+6D32', 'Simplified': '', 'grade': '3'}, {'Character': '珠', 'Reading': 'CHÂU', 'Examples': '珍珠 trân châu\n珠寶 châu báu\n火珠 hoả châu ', 'Note': '', 'Unicode': 'U+73E0', 'Simplified': '', 'grade': '5'}, {'Character': '𧎝', 'Reading': 'châu', 'Examples': ' ', 'Note': '⇔ 𧎝 chấu', 'Unicode': 'U+2739D', 'Simplified': '', 'grade': '6'}, {'Character': '㑳', 'Reading': 'châu', 'Examples': '官㑳 quan châu', 'Note': '', 'Unicode': 'U+3473', 'Simplified': '', 'grade': '7'}, {'Character': '寶', 'Reading': 'báu', 'Examples': '貴寶 quý báu\n寶物 báu vật\n珠寶 châu báu ', 'Note': '', 'Unicode': 'U+5BF6\nU+5B9D', 'Simplified': '宝', 'grade': '3'}]
2025-11-27 16:46:07.860 | DEBUG    | search_chnc:get_result:74 - ['là', 'đây']
2025-11-27 16:46:07.860 | DEBUG    | search_chnc:get_result:75 - [{'Character': '羅', 'Reading': 'là', 'Examples': '羅裙襖 là quần áo\n𫄎羅 lụa là\n𪅴羅 ác là\n𣾹羅 giặt là ', 'Note': '「𱺵 là」𱺵繫詞；「羅 là」空沛𱺵繫詞、常𱺵𠬠份𧵑名詞或動詞。\n"𱺵 là" là hệ từ; "羅 là" không phải là hệ từ, thường là một phần của danh từ hoặc động từ.[翻]', 'Unicode': 'U+7F85', 'Simplified': '', 'grade': '2'}, {'Character': '𱺵', 'Reading': 'là', 'Examples': '即𱺵 tức là\n妬𱺵 đó là ', 'Note': '「𱺵 là」𱺵繫詞；「羅 là」空沛𱺵繫詞、常𱺵𠬠份𧵑名詞或動詞。\n"𱺵 là" là hệ từ; "羅 là" không phải là hệ từ, thường là một phần của danh từ hoặc động từ.[異] 𪜀 ', 'Unicode': 'U+31EB5', 'Simplified': '', 'grade': '1'}, {'Character': '蘿', 'Reading': 'LÀ', 'Examples': '蒔蘿 thì là\n𣗪蘿 chà là ', 'Note': '', 'Unicode': 'U+863F', 'Simplified': '', 'grade': '6'}, {'Character': '洛', 'Reading': 'là', 'Examples': '𨓐𨓐 là lạ [𠸨] ', 'Note': '⇔ 𨓐 lạ', 'Unicode': 'U+284D0', 'Simplified': '', 'grade': '6'}, {'Character': '低', 'Reading': 'đây', 'Examples': '隔低 cách đây\n𠓀低 trước đây ', 'Note': '', 'Unicode': 'U+4F4E', 'Simplified': '', 'grade': '2'}]
2025-11-27 16:47:14.892 | DEBUG    | search_chnc:get_result:74 - ['là', 'đây']
