𦎡 輪 秀 曲 拮 速 君 我 朋 醜 
捍 範 聚 待 秋 𦝄 束 訴 僤 瑞 
頂 急 舊 劄 𦭷 懞 𤅶 涅 己 載 
好 惱 魏 率 璃 壙 稱 繼 援 雜 
票 草 𫇿 血 辯 征 膮 其 宜 狹 
食 慣 禁 習 𢯢 誌 𦹯 孟 殼 綀 
微 惠 墨 𥘀 𧹻 𢏑 𥊚 里 寨 龐 
𢟙 迴 凭 𠳨 𢟔 尉 具 𡍚 𩟡 𡲤 
𰨂 𥅞 儮 斤 啊 傑 暎 𦄂 渴 讓 
徐 降 婦 像 劍 𡇐 懃 咜 𠔭 獄 
𮞊 勤 𠍵 佈 𢭂 紹 熤 純 停 𬏇 
惜 𬚸 候 男 申 的 圍 緄 媚 村 
𦑃 干 辰 𧖱 矓 烏 孔 恨 𣹓 𬃻 
陵 媒 伯 凌 捽 𢄂 泄 毛 𤒘 繌 
𨠳 譔 䏧 飛 甘 淶 捲 攔 亇 註 
莊 適 危 庫 咀 𥒮 娘 醒 𥄬 半 
製 唯 木 該 雙 捻 菩 𠈭 𱖗 荒 
初 𡓃 珥 䋦 𤍅 𥧪 𣇜 𤉚 殿 胎 
勁 𧶄 薩 等 𱱇 𨘗 塵 冷 買 季 
垓 𩄎 吸 亭 𤯆 皮 掙 疎 郎 滌 
焠 夷 𢥇 錦 型 俞 𦒹 遁 遍 蜀 
博 堛 𠿿 𠒦 沕 嚉 礙 均 榜 譬 
𡭧 月 㑀 芒 仉 𢘾 悋 咏 𨔿 丘 
𧷸 屯 今 迦 絏 秦 受 仙 良 刑 
焒 眉 𠴍 𫰅 𪮞 擁 番 蒙 𢳯 敬 
𦀎 慌 𫩟 享 𦘧 談 莫 帶 溫 陰 
𫣅 𫷨 兒 深 寄 描 𤵖 扡 澳 婚 
𢗔 𠹭 倫 𥯎 𠸦 狔 仰 𩂏 至 敵 
室 鎖 屋 他 𡹃 舍 百 俄 𧣲 唿 
從 眼 染 免 喻 𡂑 鄧 𬰹 祿 𪽳 
灣 𠰘 𫯳 糧 剒 鉗 倲 卬 捏 台 
砲 裴 奉 列 萊 贈 𠶣 閣 𡥙 眷 
戊 砮 蒂 愊 𡓁 播 嗣 蓮 馭 𣊾 
澤 緝 𣘊 𢯛 符 涇 噶 恐 𦬑 輯 
𣑺 摺 蘿 牢 僞 殖 架 𡓇 	
