CQN	CHNC
ái ngại	愛懝
âm ấm	𤋾𤋾
ấm áp	𤋾押
ăn năn	咹𡅧
anh ánh	映映
áy náy	曖𢖱
bạc bẽo	薄殍
bạc nhạc	薄樂
bàn bạc	𠴞博
bận bịu	絆褓
bần thần	𢠈神
bâng khuâng	氷傾
bảng lảng	榜𨅉
bảnh bao	炳包
bảo ban	𠸒頒
bập bẹ	潗𠹯
bấp bênh	乏𦛼
bập bềnh	潗泙
bắt bớ	扒𡃓
bát ngát	八𬳜
bây bẩy	㔥㔥
bầy hầy	𠍣係
bẽ bàng	𢜢㥬
be bét	𠾦𥇂
bề bộn	皮坌
bé bỏng	𡮣𤊡
bệ vệ	陛衛
bền bỉ	𥾽比
bẽn lẽn	惼𢤠
bềnh bồng	泙捧
béo bở	脿𠴙
bèo nhèo	䕯蕘
bép xép	𠰏㴙
bết bát	𡌀潑
bì bà bì bõm	皮婆皮渀
bĩ bàng	俖㥬
bì bõm	皮渀
bịn rịn	𠯴湅
bịt bùng	莂熢
bỏ bê	𠬃𠶎
bỡ ngỡ	𠳝𢣸
bơ phờ	巴𤷵
bơ vơ	巴噅
bối rối	𦁀𦇒
bỏm bẻm	呠𠷨
bờm xờm	𣭛𬇁
bộn bề	坌皮
bôn chôn	奔墫
bồn chồn	盆𤶐
bóng bảy	𣈖㔥
bong bóng	琫琫
bông lông	葻𣯡
bộp chộp	𠶙摯
bú dù	咘怞
bừa bãi	耚𡓁
bực bội	愊背
bực dọc	愊𨂔
bụi bặm	𡏧𠹰
bùi ngùi	裴𠿯
bùi nhùi	裴𤈞
bủn rủn	㤓噋
bụng nhụng	䏾𰮐
bung xung	𨮇衝
bươm bướm	𧊉𧊉
bướng bỉnh	嗙秉
bứt rứt	伓𢲼
cà rá	咖筥
cầm cập	忣忣
cặm cụi	扲𢷴
cằn nhằn	𣝀㧢
canh cánh	耿耿
cặp kè	笈𥰇
cau có	皐固
cáu kỉnh	㤧𠎠
càu nhàu	𧧷𦈂
chắc chắn	𢡠𥗜
chắc mẩm	𢡠𢠧
chăm chắm	枕枕
chầm chậm	踸踸
chậm chạp	踸臘
chăm chỉ	𢟙只
chần chừ	㖘𪡷
chan chứa	滇貯
chán chường	𢥇悜
chằng chịt	𦁢㑜
chạng vạng	𣈚暀
chập choạng	𤌀𤈛
chập chờn	𥊝𥌬
chập chùng	縶重
chập chững	𥊝𨀧
chặt chẽ	𬘋䊼
chật chội	𡒻𠱤
chật vật	𡒻𢪱
chạy chọt	𧼋𢬮
che chở	𩂏𨔾
chễm chệ	沾治
chen chúc	𢫔𨃷
chệnh choạng	整𫏈
chênh vênh	佂儝
cheo leo	㹦蹽
chết chóc	𣩂𠺷
chì chiết	鈘折
chiều chuộng	朝𡮶
chim chóc	𪀄𠺷
chín chắn	𤇪𥗜
chới với	𤈪貝
chôm chỉa	撍𢶾
chơm chởm	𡹟𡹟
chon von	嶟𡻖
chờn vờn	𥌬溳
chòng chành	泈湩
chống chế	𢶢制
chông chênh	蔠佂
chòng chọc	擉擉
chong chong	炵炵
chong chóng	𫏢𫏢
chồng ngồng	𫯳茙
chót vót	㟮𡻋
chứa chan	貯滇
chúm chím	𠶍呫
chũm choẹ	𥬧𲇥
chùn chụt	𠶯𠶯
chững chạc	𨀧擢
chưng hửng	烝𬋙
cò kè	瞿𥰇
cộc cằn	侷𣝀
cộc lốc	侷椂
côi cút	𠎺𠬒
còm cõi	膁𡎝
cồm cộm	𥖜𥖜
cỏn con	𡥵𡥵
còng cọc	𣌶𣌶
còng cọc	梮梮
cồng kềnh	𨫋倞
cót két	嗗咭
cọt kẹt	噘搩
cũ càng	𫇰𪨈
cụ cựa	具距
của cải	𧵑𣒵
cúm núm	𤻎埝
cứng cáp	勁哈
cứng cỏi	勁𢜽
cưng cứng	勁勁
cuồn cuộn	淃淃
cuống cà kê	㤮咖計
cuống cuồng	㤮狂
da dẻ	䏧𦘺
da diết	㤎悊
dã dượi	沲洟
dai dẳng	𦂄養
dại dột	𠻇𣔻
dầm dề	淫湜
dần dà	𢴍𧹟
dân dấn	𢪉𢪉
dan díu	𢺤𢬢
dằn dỗi	𠇁𢢊
dằng dặc	𫐟𫐟
đằng đẵng	滕滕
dang dở	扛𡁎
dập dềnh	𡏽溋
đắp điếm	㙮店
dập dìu	𡏽𢭼
dắt díu	𢴑𢬢
đắt đỏ	𮙻𧹻
đau đáu	𤴬𤴬
đầy đặn	𣹓憚
dậy dàng	𧻭揚
đày đọa	𢰥墮
dây dưa	絏荼
dễ dãi	易𣹘
dễ dàng	易揚
dè dặt	𠽮迭
đẹp đẽ	惵悌
đều đặn	調憚
dí dỏm	哩𠼖
diêm dúa	焰臾
dính dáng	䊅𠍵
dịu dàng	𪶋揚
dìu dặt	𢭼迭
dìu dịu	𪶋𪶋
đồ đạc	𣘊度
dớ dẩn	𠽐慬
đờ đẫn	咜癉
đỡ đần	扡𢠤󠄁
dở dang	𡁎扛
dỗ dành	誘𧶄
đo đỏ	𧹻𧹻
dồi dào	𣼭𤁠
đom đóm	炶炶
đôm đốp	沓沓
dồn dập	拵𡏽
don dỏn	吮吮
dôn dốt	詘詘
dõng dạc	𢘭𢖺
đông đặc	凍特
dông dài	搈𨱽
dong dỏng	𦡦𦡦
dư dả	餘也
dụ dỗ	誘誘
du dương	悠揚
đúng đắn	倲捵
dùng dằng	𨀍𨀊
đủng đỉnh	𨆟䟓
dửng dưng	𢘩𠮨
ế ẩm	曀𤀔
e dè	㥋𠽮
éc éc	噁噁
ém dẹm	掩𠇦
ém nhẹm	掩𠇦
eo éo	𢰳𢰳
èo èo	㕭㕭
èo ẽo	㕭㕭
eo sèo	㕭𡁼
gạ gẫm	𠶄𡄎
gai góc	荄𧣳
gầm ghè	㖗㙋
gắm ghé	𧃃𥇚
gầm gừ	㖗㖵
gàn gàn	𢢈𢢈
gần gận	近近
gan góc	肝𧣳
gần gũi	近𨗥
gần gụi	近𨗥
gạn gùng	𢭬𡃕
gân guốc	筋槶
gắng gổ	𠡚古
gắng gượng	𠡚強
gánh gồng	挭𭡅
gấp gáp	急𢰽
gặp gỡ	﨤攑
gật gà gật gù	𩠓𪃿𩠓𠵎
gật gà gật gưỡng	𩠓𪃿𩠓仰
gạt gẫm	詰𡄎
gắt gao	噶𪡱
gắt gỏng	噶嗊
gật gù	𩠓𠵎
gật gưỡng	𩠓仰
gau gáu	噑噑
gay gắt	垓噶
gây gấy	𰟅𰟅
gay go	垓𦁣
gây gổ	𨠳古
gầy gò	𤷍𡍢
gầy guộc	𤷍𤶹
già giặn	𫅷忍
giặc giã	賊偖
giãi giề	𤐃支
giậm giật	𨁹𪮞
giấm giúi	𥋶搥
giần giật	𪮞𪮞
giằn giọc	𢴟𬴭
giằn giỗi	𠇁𢢊
giàn giụa	𣼼㗎
giáo giở	𥋽𠭤
giặt giũ	𣾹𱡃
giặt gỵa	𣾹洩
giấu giếm	𢭳掂
giãy giụa	䟢㗎
giây giướng	𦀊仗
gièm giẹp	揲揲
giéo giắt	𠰉㗭
giẹo giọ	佋住
gìn giữ	𢷹𡨺
giờ giấc	𣇞𥋏
giở giói	捛𢷮
giối già	讄𫅷
giối giăng	讄𦝄
giỏi giang	𠐞江
giòn giã	伅偖
gion giỏn	吮吮
giôn giốt	詘詘
gióng giả	𪢊㨋
giông giống	𥞖𥞖
giữ giàng	𡨺江
giữ gìn	𡨺𢷹
giu giú	𢭳𢭳
giục giã	𠽖偖
giục giặc	𠽖賊
giúi giụi	搥𢵌
gỡ gạc	攑㓢
gò gẫm	𡍢𡄎
gồ ghề	𥕥𥗎
gốc gác	㭲閣
gói gắm	襘𧃃
gởi gắm	寄𧃃
gờm gờm	𢢬𢢬
gớm guốc	𡃍槶
gọn gàng	袞抗
gọn ghẽ	袞技
gòn gọn	袞袞
gờn gợn	𰜠𰜠
gọn lỏn	袞𫐮
gọn thon lỏn	袞𠴘𫐮
góp nhóp	𢵰叺
gục gặc	𩠧𩠓
gửi gắm	寄𧃃
gùn gút	縎縎
gườm gườm	睒睒
gượng gạo	強檤
gường gượng	強強
hả hê	嘑𭌟
há hốc	𠹛嘝
hâm hấp	熻熻
hẩm hiu	𥼲㳜
ham hố	𫻎唬
hăm hở	𢣇𢠇
hằn học	恨學
hăng hái	㤚𢲨
háo hức	好洫
hấp tấp	吸漝
hắt hiu	𫤾㳜
hất hủi	迄癐
hắt hủi	𫤾癐
hể hả	𠯋嘑
hề hấn	𢭁釁
he hé	𢬾𢬾
hếch hoác	侅嚯
hẹn hò	𭉑㗅
héo hắt	𤉗𫤾
heo hút	囂唿
hí hoáy	咥渨
hở hang	汻𡎟
hớ hênh	𤾟亨
hơ hớ	𤾟𤾟
hồ hởi	胡憘
hờ hững	噓𠾿
hoạ hoằn	和唍
hoa hoè	花𠺌
hoa hoét	花𠲣
hoài hoài	懷懷
hoang hoác	荒嚯
hoang toàng	荒䢨
hoạnh hoẹ	橫𠽡
hộc hà hộc hệch	斛何斛劾
hốc hác	嘝壑
hốc hếch	嘝侅
hộc hệch	斛劾
hộc tốc	斛速
hối hả	誨嘑
hôi hám	洃㦑
hôi hổi	𤍃𤍃
hoi hóp	脄𨸚
hời hợt	𢝷愒
hom hem	𩩿嫌
hóm hỉnh	憾擤
hợm hĩnh	唅𠲮
hom hỏm	陷陷
hổn ha hổn hển	混哬混顯
hỗn hào	溷豪
hổn hển	混顯
hớn hở	𢠦𢠇
hon hỏn	𠮬𠮬
hơn hớn	𢠦𢠦
hờn hợt	愒愒
hống hách	吼赫
hồng hào	紅豪
hổng hểnh	𠸣啈
hồng hộc	斛斛
hong hóng	𥈰𥈰
hớt hải	㓭海
hớt hơ hớt hải	㓭𤏤㓭海
hư hèn	墟𢤞
hú hí	吁咥
hú hoạ	吁和
hục hặc	𡄆嘿
huếch hoác	擴嚯
huênh hoang	𠇟荒
hum húp	噏噏
húng hắng	哅响
hững hờ	𠾿噓
hừng hực	𬋙𤍋
hưng hửng	𬋙𬋙
húp híp	噏䀫
im ỉm	唵唵
im lìm	唵𠿳
im lịm	唵殮
ỉu xìu	夭𱡁
ỉu xịu	夭𱡁
kề cà	倛㧝
kể lể	計𣠲
ké né	𦵗迡
kè nhè	𥰇洏
kém cạnh	歉競
kém cỏi	歉𢜽
kèm nhèm	兼𣲹
kèn cựa	𥱲距
ken két	摼咭
kềnh càng	倞𪨈
kềnh kệnh	傹傹
kèo cò	撟瞿
kèo kẹo	撟撟
kẽo kẹt	嘺𠹳
kèo nèo	撟𱒡
kha khá	可可
khá khen	可𠸦
khắc khoải	刻挂
khặc khừ	咯啹
khách khứa	客佉
khăm khắm	㘛㘛
khăn khẳn	𡁵𡁵
khẩn khoản	懇款
khấn khứa	懇佉
khang khác	恪恪
khang kháng	肮肮
khang khảng	肮肮
khẳng kheo	肯𩨼
khăng khít	𠻞𢝛
khẳng khiu	肯𠰋
khạng nạng	𣡤
khao khát	犒渴
khấp kha khấp khểnh	伋柯伋俓
khập khà khập khiễng	𨂖𠀪𨂖𨁍
khấp khểnh	伋俓
khập khiễng	𨂖𨁍
khấp khởi	伋起
khát khao	渴滈
khắt khe	𰸑蹊
khất khứa	乞佉
kháu khỉnh	蔻𠾶
khề khà	𠀫𠀪
khe khắt	蹊𰸑
khe khẽ	溪𡃊
khè khè	契契
khệ nệ	憩泥
khệnh khạng	/td>
kheo khéo	𫩟𫩟
kheo khư	𩨼呿
khéo léo	𫩟嘹
khép nép	𢬱㨥
khét lẹt	𤋸哷
khin khít	𢝛𢝛
khìn khịt	喫喫
khinh khỉnh	𠾶𠾶
